herb,symptom,indication
U248,C0010200,1
U661,C0026837,0
U1032,C1568249,0
U50,C0030193,1
U363,C0022346,1
U462,C0033377,0
U146,C0032285,1
U700,C0033774,1
U265,C0026838,0
U566,C0042571,0
U789,C0398650,0
U842,C0086132,0
U844,C0018834,0
U828,C0234979,0
U406,C0700590,0
U206,C0030193,1
U113,C0018989,0
U380,C0271215,0
U370,C0035078,0
U546,C0013604,0
U537,C0009421,0
U683,C0011991,1
U653,C0026838,0
U273,C0271215,0
U488,C0020429,1
U553,C0023380,0
U150,C0020429,1
U285,C0040822,0
U416,C0022346,1
U395,C3552463,0
U785,C0006625,0
U113,C0030193,0
U901,C0000737,1
U805,C0151825,0
U578,C0233565,0
U606,C0700078,0
U869,C0151825,0
U685,C0030193,1
U302,C0013604,1
U796,C0003578,0
U994,C2364082,0
U633,C0000737,0
U637,C0030193,1
U869,C0000737,1
U752,C0008031,0
U540,C0026846,0
U777,C0023380,0
U36,C0042024,0
U1009,C0018989,0
U418,C0151786,0
U36,C0030193,1
U891,C0015967,1
U269,C0027498,0
U120,C0000737,1
U183,C0030193,1
U120,C0018681,1
U809,C0022346,0
U76,C0000737,1
U202,C0012833,1
U488,C0030193,1
U780,C0014335,0
U198,C0033774,0
U669,C0020429,1
U584,C0020429,1
U919,C0040034,0
U274,C0003862,0
U870,C0030232,0
U661,C0020429,1
U349,C0020429,1
U230,C0234132,0
U668,C0030193,1
U46,C0042963,0
U393,C0033774,1
U639,C0030193,1
U118,C0020429,1
U963,C0022346,1
U57,C0234132,0
U606,C0973461,0
U872,C0086132,0
U305,C0019825,1
U678,C0042571,1
U141,C0009806,1
U35,C0013595,0
U83,C0030193,1
U996,C0009460,0
U351,C0039070,1
U818,C0000737,1
U124,C0030193,1
U979,C0013604,1
U892,C0010200,1
U469,C0000737,1
U544,C0003862,1
U693,C0011991,1
U386,C0018681,1
U918,C0006625,0
U70,C0000737,1
U77,C0039070,1
U456,C0009421,0
U39,C0746674,0
U335,C0010200,1
U765,C0039070,1
U348,C0000737,1
U849,C3552463,0
U140,C0237326,1
U999,C0270948,0
U35,C0027066,0
U879,C0018681,0
U459,C0270948,0
U90,C0015967,1
U52,C0013604,1
U13,C0022541,0
U460,C0013604,1
U206,C0040034,0
U85,C0001925,0
U934,C0032914,0
U319,C0012833,1
U172,C0033774,1
U592,C0030193,1
U821,C0003126,0
U988,C1691779,0
U496,C0036572,1
U537,C3552463,0
U201,C0003123,0
U856,C1384666,0
U172,C0008031,0
U778,C0022541,0
U117,C0032285,1
U953,C0011991,1
U566,C0020429,1
U705,C0042571,0
U785,C0032285,1
U761,C0002622,0
U570,C0026821,0
U900,C0030193,1
U638,C0030193,1
U108,C0751295,0
U636,C0030193,1
U263,C0010200,1
U417,C0013595,0
U782,C0152031,0
U463,C0020429,1
U606,C0002103,0
U110,C0000737,1
U339,C0020429,1
U779,C0009806,1
U206,C0020429,1
U72,C0398650,0
U829,C0241210,0
U211,C0020429,1
U142,C0010200,1
U338,C0030193,1
U496,C0020429,1
U861,C0008489,0
U794,C1963154,0
U963,C0039070,1
U129,C0151908,1
U207,C0032285,1
U213,C1836296,0
U869,C0020429,1
U36,C0042571,1
U196,C0020429,1
U757,C1568248,0
U70,C0011570,0
U174,C1836296,0
U451,C0020429,1
U381,C0020538,0
U410,C0018777,0
U480,C0237326,1
U397,C0152200,0
U511,C0427055,0
U747,C0012833,0
U634,C0015967,1
U808,C0037315,0
U325,C0008031,1
U734,C0013604,1
U868,C0033377,0
U44,C0018834,0
U505,C0009806,1
U142,C0221263,0
U348,C0010200,1
U995,C0020429,1
U860,C0042798,1
U533,C0032285,1
U656,C0155320,0
U473,C0033774,0
U810,C0030193,1
U287,C0027498,0
U205,C0003537,1
U746,C0699731,0
U201,C0012833,1
U941,C0010200,1
U762,C3552463,0
U262,C0020429,1
U696,C0542476,1
U1027,C0033687,0
U390,C0011991,1
U234,C0010200,1
U838,C0009421,0
U207,C0010200,1
U234,C0030193,1
U367,C1262477,0
U193,C0005745,0
U347,C0042384,0
U664,C0013595,1
U7,C0003578,0
U551,C0271097,0
U314,C0012833,1
U276,C0085636,0
U346,C0155320,0
U517,C3668816,0
U476,C0917816,0
U90,C0031154,0
U868,C0005779,0
U363,C0011991,1
U64,C0085636,1
U944,C0021368,0
U148,C0030193,1
U380,C0003113,0
U769,C0851578,0
U812,C0030193,0
U977,C0086132,1
U103,C0030193,1
U968,C0178417,0
U662,C0085636,1
U77,C0030193,1
U517,C0039070,0
U650,C0030193,1
U689,C0237326,0
U503,C0042798,1
U4,C0000737,1
U321,C0020455,0
U903,C0042963,1
U38,C0030232,0
U108,C0020429,1
U489,C0241210,0
U312,C0237326,1
U862,C0010200,1
U789,C0042571,1
U536,C0020615,0
U922,C2931205,0
U64,C0476273,0
U171,C0039070,1
U951,C0010200,1
U116,C0003578,0
U860,C0031154,0
U162,C0000737,1
U179,C0234979,0
U879,C0235153,0
U188,C0030193,1
U141,C0013604,1
U627,C0020429,1
U150,C0030193,1
U512,C0151825,0
U211,C0000737,1
U205,C0973461,1
U484,C0973461,1
U372,C0018834,1
U841,C0542476,1
U515,C0008489,0
U635,C0018989,1
U938,C0009421,0
U439,C0751837,0
U780,C0023015,0
U983,C0001925,0
U628,C0151786,1
U567,C0003537,0
U740,C0009398,0
U198,C0746674,0
U20,C0027066,0
U174,C0162674,0
U593,C0028756,0
U808,C0028754,0
U592,C0018681,1
U147,C0032914,0
U860,C0018681,1
U991,C3668816,0
U443,C0008031,1
U993,C0033687,0
U71,C0023530,0
U322,C0151908,0
U365,C0003113,0
U201,C0008031,0
U425,C0542476,0
U498,C0241210,0
U686,C0019214,0
U870,C0027498,0
U530,C0020429,1
U547,C0234133,0
U18,C1860844,0
U468,C0699731,0
U782,C0026826,0
U559,C0013595,1
U974,C3552463,0
U348,C4020887,0
U841,C0012833,1
U104,C0023015,1
U160,C0030193,1
U185,C0000737,1
U335,C0011991,1
U91,C0030193,1
U757,C0026821,0
U454,C0033774,1
U678,C0009806,1
U168,C0206160,0
U169,C0030193,1
U268,C0042571,1
U566,C0031154,0
U399,C0020429,1
U225,C0000737,0
U89,C2931205,0
U454,C1963137,0
U103,C0022346,0
U994,C0011991,1
U45,C0020305,0
U625,C0020429,1
U867,C0032285,0
U488,C0427055,0
U522,C0020429,1
U346,C1145670,0
U247,C0042963,1
U265,C0020429,1
U510,C0018681,0
U575,C1568248,0
U435,C0234133,0
U631,C0271097,0
U730,C0030193,1
U247,C0699731,0
U462,C0030193,1
U262,C0033774,1
U1030,C0751295,0
U124,C0019214,1
U491,C0020455,0
U979,C0000737,1
U146,C0030193,1
U834,C0000737,1
U597,C0009806,1
U869,C0020455,0
U516,C0851578,0
U631,C0020796,0
U214,C0018681,1
U148,C0020429,1
U602,C0042571,1
U140,C0012833,0
U383,C0020429,1
U696,C0020429,1
U706,C1691779,0
U637,C0015230,1
U903,C0018834,1
U63,C0000737,1
U856,C0030193,1
U619,C0022116,0
U937,C0015967,0
U982,C0002103,0
U338,C0020429,1
U417,C0020429,1
U713,C0042571,0
U421,C1262477,0
U302,C0231835,1
U669,C0033687,0
U747,C0234378,0
U818,C0030193,1
U237,C0018681,0
U917,C0020538,0
U682,C0042798,1
U1039,C0231835,0
U749,C0021368,0
U1025,C0020429,1
U83,C0231835,1
U462,C0235153,0
U93,C0032285,1
U473,C0042963,0
U1040,C0026821,0
U724,C0026838,0
U262,C0151825,0
U24,C0030193,1
U823,C3203358,0
U735,C0018681,1
U858,C0030193,1
U171,C0030193,1
U214,C0032617,0
U790,C0030193,1
U872,C0018681,1
U68,C0178417,0
U602,C0003537,1
U828,C3714756,0
U874,C0456909,0
U837,C0039070,1
U62,C0011991,1
U207,C1838869,0
U756,C0033377,0
U404,C0271215,0
U47,C0009806,1
U504,C0032285,1
U387,C0030193,1
U602,C0003635,0
U312,C0022346,0
U491,C0751295,0
U393,C0000737,1
U372,C0042963,1
U898,C0033774,1
U1042,C0151786,0
U732,C0014335,0
U638,C0026838,0
U134,C3203358,0
U83,C0032285,1
U869,C0022346,1
U962,C0010200,1
U571,C0033774,0
U457,C0013595,0
U341,C0270948,0
U650,C0042963,1
U849,C0013404,0
U906,C0030193,0
U386,C0000737,1
U789,C0042384,0
U771,C0009460,0
U443,C0013404,0
U207,C0013595,1
U733,C0231528,1
U998,C0020429,1
U310,C0013404,0
U892,C0700078,0
U351,C0162674,0
U634,C0018681,1
U958,C0030193,1
U877,C0026837,0
U637,C0026821,0
U901,C0020429,1
U709,C1836296,0
U776,C0020429,1
U87,C0013604,1
U189,C0013491,0
U776,C0000737,1
U716,C0010200,1
U55,C0013604,1
U265,C0036572,1
U513,C0020429,1
U146,C0022346,1
U1032,C0015967,0
U873,C0241210,0
U625,C0231807,0
U911,C0427055,1
U558,C0015967,1
U778,C0021368,0
U779,C0020429,1
U348,C0086132,1
U19,C0010200,1
U268,C0009398,0
U234,C0020429,1
U544,C0000737,1
U582,C0020429,1
U141,C0020429,1
U668,C0162298,0
U801,C1963154,0
U837,C0011991,1
U79,C0011570,0
U559,C0152200,0
U693,C0005745,0
U3,C4020887,0
U735,C0000737,1
U542,C1838869,0
U86,C0008031,1
U230,C0013604,1
U14,C0027498,0
U146,C0039070,1
U360,C0009806,1
U623,C0003862,1
U503,C0023530,0
U959,C0030193,1
U268,C0029089,0
U691,C0000737,1
U88,C1262477,0
U867,C1568249,0
U35,C3203358,0
U597,C0009421,1
U273,C0030193,1
U709,C0010200,1
U875,C0000737,1
U995,C0018834,1
U360,C0011991,1
U638,C0019214,0
U349,C0030193,1
U659,C0011991,1
U630,C0003862,1
U1013,C1963154,0
U375,C0010200,1
U826,C0030193,1
U242,C0018681,1
U713,C0030193,1
U186,C0002103,0
U829,C0086132,1
U380,C0011991,1
U336,C0035078,0
U86,C0020429,1
U638,C0018989,1
U70,C0030193,1
U672,C0152031,0
